,datetime,nav,cash_position,margin_requirement
0,2020-05-29,10000000.0,10000000.0,0.0
0,2020-06-30,10000000.0,-10753750.35014902,10376875.17507451
0,2020-07-31,10571987.18670856,-1469275.7670261934,6020631.476867377
0,2020-08-31,11861411.258085903,-13652617.899763461,12757014.57892468
0,2020-09-30,10662103.83189106,-7226558.002923511,8944330.917407285
0,2020-10-30,9962676.959451802,9962676.959451802,0.0
0,2020-11-30,9962676.959451802,268335.3280976396,4847170.815677081
0,2020-12-31,9976945.728862071,-520229.4670589715,5248587.5979605215
0,2021-01-29,11197020.384630283,11197020.384630283,0.0
0,2021-02-26,11197020.384630283,11197020.384630283,0.0
0,2021-03-31,11197020.384630283,-463262.77953398414,5830141.582082134
0,2021-04-30,10548040.121126652,415303.6584148854,5066368.231355883
0,2021-05-28,10733153.96010204,10733153.96010204,0.0
0,2021-06-30,10733153.96010204,275686.7035916522,5228733.628255194
0,2021-07-30,10282374.376542903,10282374.376542903,0.0
0,2021-08-31,10282374.376542903,-12429527.393015116,11355950.88477901
0,2021-09-30,10029157.285774566,-7204531.275628723,8616844.280701645
0,2021-10-29,9310556.477447532,9310556.477447532,0.0
0,2021-11-30,9310556.477447532,-9264429.606502254,9287493.041974893
0,2021-12-31,7897717.399045216,-7208087.767903544,7552902.583474379
0,2022-01-31,6412493.9145159125,6412493.9145159125,0.0
0,2022-02-28,6412493.9145159125,-6733196.9111409355,6572845.412828424
0,2022-03-31,6901710.617097832,-1133167.5418004803,4017439.0794491563
0,2022-04-29,5946214.865380557,5946214.865380557,0.0
0,2022-05-31,5946214.865380557,5946214.865380557,0.0
0,2022-06-30,5946214.865380557,5946214.865380557,0.0
0,2022-07-29,5946214.865380557,5946214.865380557,0.0
0,2022-08-31,5946214.865380557,5946214.865380557,0.0
0,2022-09-30,5946214.865380557,1040054.7864895025,2453080.0394455274
0,2022-10-31,6223280.443515773,6223280.443515773,0.0
0,2022-11-30,6223280.443515773,-6936685.359131518,6579982.901323644
0,2022-12-30,5466338.806168751,5466338.806168751,0.0
