,0
arith mean,-0.01675807858518886
arith mean (ann),-0.2010969430222663
geomean mean,-0.01929452859655023
geomean mean (ann),-0.2084776560953553
sigma,0.07081451476346966
sigma (ann),0.24530867496733158
avg drawdown,0.2516566029453208
max drawdown,0.5391493737777318
alpha,-0.02147531841291129
alpha SE,0.011922543193633412
alpha (ann),-0.2577038209549355
alpha SE (ann),0.14307051832360096
beta,0.5272367920729346
betaSE,0.21439726131407336
Sharpe ratio,-0.2366475099231164
Sharpe ratio (ann),-0.8197710213429954
information ratio,-0.3032615345122655
information ratio (ann),-1.050528771513093
