,datetime,nav,cash_position,margin_requirement
0,2020-07-31,10000000.0,-5853481.792296119,7926740.8961480595
0,2020-08-31,12298684.595719613,12298684.595719613,0.0
0,2020-09-30,12298684.595719613,530590.3814189173,5884047.107150348
0,2020-10-30,11267537.250697944,11267537.250697944,0.0
0,2020-11-30,11267537.250697944,11267537.250697944,0.0
0,2020-12-31,11267537.250697944,-12990724.073628094,12129130.662163021
0,2021-01-29,11082316.317114726,11082316.317114726,0.0
0,2021-02-26,11082316.317114726,11082316.317114726,0.0
0,2021-03-31,11082316.317114726,-405773.3223034851,5744044.819709105
0,2021-04-30,12840667.380429825,-10160192.19635498,11500429.788392402
0,2021-05-28,12968493.655375896,12968493.655375896,0.0
0,2021-06-30,12968493.655375896,326584.9672145881,6320954.344080654
0,2021-07-30,13149929.748272888,13149929.748272888,0.0
0,2021-08-31,13149929.748272888,-15950539.280892394,14550234.514582641
0,2021-09-30,12342904.66792608,-625947.6218282618,6484426.144877171
0,2021-10-29,13670248.955285123,13670248.955285123,0.0
0,2021-11-30,13670248.955285123,13670248.955285123,0.0
0,2021-12-31,13670248.955285123,-65846.22533435747,6868047.59030974
0,2022-01-31,15336444.744180607,294335.80822164565,7521054.4679794805
0,2022-02-28,14505075.18060718,14505075.18060718,0.0
0,2022-03-31,14505075.18060718,-12301170.349208957,13403122.764908068
0,2022-04-29,10011934.554025846,10011934.554025846,0.0
0,2022-05-31,10011934.554025846,9927371.596985752,42281.47852004692
0,2022-06-30,10004687.675606236,1261188.8747696383,4371749.400418298
0,2022-07-29,11053818.243998677,11053818.243998677,0.0
0,2022-08-31,11053818.243998677,11053818.243998677,0.0
0,2022-09-30,11053818.243998677,685707.9414420817,5184055.151278297
0,2022-10-31,12541237.350059133,12541237.350059133,0.0
0,2022-11-30,12541237.350059133,12541237.350059133,0.0
0,2022-12-30,12541237.350059133,12541237.350059133,0.0
