,0
arith mean,0.012240633776063934
arith mean (ann),0.1468876053127672
geomean mean,0.007838739496811575
geomean mean (ann),0.09822815651018324
sigma,0.09247498411531867
sigma (ann),0.3203427418337136
avg drawdown,0.10481825184518691
max drawdown,0.34765274204750085
alpha,0.006432713767269986
alpha SE,0.01491165534866966
alpha (ann),0.07719256520723983
alpha SE (ann),0.17893986418403593
beta,0.8650739121033069
betaSE,0.26485266378887923
Sharpe ratio,0.13236697354605167
Sharpe ratio (ann),0.45853264685177403
information ratio,0.06956166393333171
information ratio (ann),0.24096867238312408
