,datetime,nav,cash_position,margin_requirement
0,2020-04-30,10000000.0,-2261818.8713305295,6130909.435665265
0,2020-05-29,10178961.067396568,10178961.067396568,0.0
0,2020-06-30,10178961.067396566,-12056251.546157585,11117606.306777079
0,2020-07-31,12319415.176965542,-15491028.900545806,13905222.038755674
0,2020-08-31,13354062.091028426,-14446928.072753273,13900495.081890851
0,2020-09-30,12279353.590370275,-12200711.118365847,12240032.35436806
0,2020-10-30,11776450.165647894,11776450.165647894,0.0
0,2020-11-30,11776450.165647894,-499523.22187405825,6137986.693760976
0,2020-12-31,12524185.55691494,12524173.5338589,6.011528019793332
0,2021-01-29,12524185.327447642,12524185.327447642,0.0
0,2021-02-26,12524185.327447642,12524185.327447642,0.0
0,2021-03-31,12524185.327447642,-12215371.17065347,12369778.249050554
0,2021-04-30,13824147.833959335,-15404058.82384403,14614103.328901686
0,2021-05-28,14207321.993532225,14207321.993532225,0.0
0,2021-06-30,14207321.993532225,-15145713.248353183,14676517.620942704
0,2021-07-30,14419249.764503501,14419249.764503501,0.0
0,2021-08-31,14419249.764503505,-17577169.219278473,15998209.491890991
0,2021-09-30,13271457.141063962,371221.24931396917,6450117.9458749965
0,2021-10-29,14600556.224380426,14600556.22440033,9.952113032341003e-06
0,2021-11-30,14600556.2243818,-14252966.462663021,14426761.343522409
0,2021-12-31,15551856.421542611,-15342139.959424678,15446998.190483646
0,2022-01-31,12865476.652346672,-58393.19495347515,6461934.92366109
0,2022-02-28,12605466.28046285,-12083804.33377147,12344635.30711716
0,2022-03-31,13416028.986496987,-1380000.8444004282,7398014.9154487075
0,2022-04-29,11147144.262617737,11147144.262630517,6.389804184436798e-06
0,2022-05-31,11147144.262570746,491393.36166396923,5327875.4504533885
0,2022-06-30,10039180.91033956,10039180.467732493,0.22134076803922653
0,2022-07-29,10039180.940318769,10039180.940342257,1.1743977665901184e-05
0,2022-08-31,10039180.940294215,10039180.183995742,0.3781600799411535
0,2022-09-30,10039180.871295335,-7160518.1511405315,8599849.511226952
0,2022-10-31,11042057.656050952,56269.94714889303,5492893.854474251
0,2022-11-30,11740520.771340465,-14841695.911812564,13291108.341601573
0,2022-12-30,10465424.369543796,10465424.369566875,1.1539086699485779e-05
