,0
arith mean,0.004492006242409256
arith mean (ann),0.05390407490891107
geomean mean,0.001422630148294024
geomean mean (ann),0.01720577309338367
sigma,0.07913742717109042
sigma (ann),0.27414008928122074
avg drawdown,0.12093685509238349
max drawdown,0.35447057899859813
alpha,-0.006141655173721883
alpha SE,0.010105997521506305
alpha (ann),-0.07369986208466259
alpha SE (ann),0.12127197025807566
beta,1.02077390854386
betaSE,0.1816920270683143
Sharpe ratio,0.05676209605219797
Sharpe ratio (ann),0.19662966861302333
information ratio,-0.07760746581316055
information ratio (ann),-0.26884014767011755
