,datetime,nav,cash_position,margin_requirement
0,2020-07-31,10000000.0,-5853481.792296119,7926740.8961480595
0,2020-08-31,12298687.609685253,12298687.609685253,0.0
0,2020-09-30,12298687.609685253,12298687.609685253,0.0
0,2020-10-30,12298687.609685253,12298687.609685253,0.0
0,2020-11-30,12298687.609685253,12298687.609685253,0.0
0,2020-12-31,12298687.609685253,-1450683.5161815956,6874685.5629334245
0,2021-01-29,12223038.569750734,12223038.569750734,0.0
0,2021-02-26,12223038.569750734,12223038.569750734,0.0
0,2021-03-31,12223038.569750734,12223038.569750734,0.0
0,2021-04-30,12223038.569750734,-9671492.7201837,10947265.644967217
0,2021-05-28,12390524.310268264,12390524.310268264,0.0
0,2021-06-30,12390524.310268264,12390524.310268264,0.0
0,2021-07-30,12390524.310268264,12390524.310268264,0.0
0,2021-08-31,12390524.310268264,-15029399.282360695,13709961.796314482
0,2021-09-30,11630103.087571166,11630103.087571166,0.0
0,2021-10-29,11630103.087571166,11630103.087571166,0.0
0,2021-11-30,11630103.087571166,11630103.087571166,0.0
0,2021-12-31,11630103.087571166,11630103.087571166,0.0
0,2022-01-31,11630103.087571166,223203.99865035526,5703449.544460406
0,2022-02-28,11014005.060879465,11014005.060879465,0.0
0,2022-03-31,11014005.060879465,-9364771.94881025,10189388.504844857
0,2022-04-29,7600756.916856922,7600756.916856922,0.0
0,2022-05-31,7600756.916856922,7536559.285803299,32098.815526811406
0,2022-06-30,7595255.312819636,7595255.312819636,0.0
0,2022-07-29,7595255.312819636,7595255.312819636,0.0
0,2022-08-31,7595255.312819636,7595255.312819636,0.0
0,2022-09-30,7595255.312819636,7595255.312819636,0.0
0,2022-10-31,7595255.312819636,7595255.312819636,0.0
0,2022-11-30,7595255.312819636,7595255.312819636,0.0
0,2022-12-30,7595255.312819636,7595255.312819636,0.0
