,security_id,quantity,open_datetime,open_average_price,close_datetime,close_average_price,bm
0,15488,20713.58273680645,2020-07-31,196.07001,2020-08-31,204.14,
1,89393,16676.53023708099,2020-07-31,488.88,2020-08-31,529.56,
2,90215,18677.702022806225,2020-07-31,194.85001,2020-08-31,272.64999,
3,14593,103620.19589065148,2020-12-31,132.69,2021-01-29,131.96001,
4,10107,81987.43400397935,2021-04-30,252.17999,2021-05-28,249.67999,
5,20648,16971.262964836747,2021-04-30,74.55,2021-05-28,93.77,
6,86580,63352.70958611085,2021-08-31,223.85001,2021-09-30,207.16,
7,90215,49905.4459555827,2021-08-31,265.26999,2021-09-30,271.22,
8,14593,65351.26612299606,2022-01-31,174.78,2022-02-28,165.12,
9,14593,20558.101151288487,2022-03-31,174.61,2022-04-29,157.64999,
10,15488,10279.048946456689,2022-03-31,115.65,2022-04-29,87.93,
11,26403,20558.10515337868,2022-03-31,137.16,2022-04-29,111.63,
12,59176,8247.718646508249,2022-03-31,187.0,2022-04-29,174.71001,
13,93436,10433.239079738301,2022-03-31,1077.5999800000004,2022-04-29,870.76001,
14,22976,949.938978595803,2022-05-31,18.45,2022-06-30,13.42,
15,66093,2192.1682215449155,2022-05-31,21.29,2022-06-30,20.96,
